,Lunes,Martes,Miércoles,Jueves,Lunes,Martes,Miércoles,Jueves,Lunes,Martes,Miércoles,Jueves,Lunes,Martes,Miércoles,Jueves,Lunes
,03/01/2022,04/01/2022,05/01/2022,06/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,31/01/2022
1o de mayo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 de abril,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 de noviembre,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25 de abril,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32a avenida,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 de mayo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
aaron saenz,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
adolfo prieto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aguaturma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albahaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alejandro de rodas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alejandro magno,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
alfonso reyes,2,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
almazan,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
alvarez,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
amado nervo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
angela peralta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ant cam a villa de santiago,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
antigua carretera nacional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
antiguos ejidatarios,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
antonio coello,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antonio i villarreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
antonio l rodriguez,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
antonio orozco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antonio trujillo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
apolo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aramberri,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
arcos de capri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arteaga,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
arturo b de la garza,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
asistencia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
av fundidora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
av san francisco,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
av san jeronimo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
av san nicolas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azteca prol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aztlan,0,0,2,0,0,0,3,0,0,0,0,0,1,1,1,1,0
bacteriologos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balcones de las mitras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bernardo reyes,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
blvd acapulco,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cabezada,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
calle h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
camaron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camelia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
camino a la rioja,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
camino del pastizal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camino real,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
capricornio,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
carlos salazar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
carretera nacional,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castelar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cenizo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cerezo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cerro de las mitras,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cerro del mercado,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chapultepec,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
churubusco,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
cipres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
colegio civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colon,3,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2
condor,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
constitucion,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
constituyentes de nl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
contrato colectivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coyoacan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cuauhtemoc,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
cumbres san agustin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
de los astros,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
de los colonos,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
de los profesionistas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
de los propietarios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derecho de huelga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dia del trabajo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diaz ordaz,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
edison,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
elias reynoso santana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emilio carranza,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
emilio portes gil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
enrique c livas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
espinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esquisto,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
felipe angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
felipe de jesus benavides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
felix u gomez,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ferrocarrilera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fidel velazquez,1,1,0,1,0,1,0,0,0,1,3,0,0,0,0,0,1
francisco g sada,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frijol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fundadores del ejido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
galeana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
garza sada,1,0,1,1,1,0,0,1,1,2,0,1,0,1,1,0,2
